date,basis,z_score,basis_change,basis_change_z,basis_direction,contract,previous_contract,strike,previous_strike,days_to_expiry,IM_change,MO_change,IM_contribution,MO_contribution,dominant_leg,primary_reason,primary_score,confidence,secondary_reasons,explanation
2023-05-25,34.0,3.5199267373294796,42.0,3.6241163478487515,Basis widened upward,202306,202306,,,,-64.0,-22.0,64.0,-22.0,IM,Basis Jump,80.0,Medium,IM Price Contribution,"The daily basis change was +42.00 points, equivalent to +3.62 standard deviations of historical daily basis changes. IM contribution to the basis change was +64.00 points, while the MO synthetic contribution was -22.00 points. The dominant leg was IM."
2023-08-16,-14.399999999999636,-2.165262389185493,-32.399999999999636,-2.946332303962677,Basis moved downward,202308,202308,,,,-50.600000000000364,-83.0,50.600000000000364,-83.0,Mixed,Basis Jump,79.46332303962677,Medium,Mixed Price Contribution,"The daily basis change was -32.40 points, equivalent to -2.95 standard deviations of historical daily basis changes. IM contribution to the basis change was +50.60 points, while the MO synthetic contribution was -83.00 points. The dominant leg was Mixed."
2023-09-15,28.399999999999636,2.598200183561587,51.80000000000018,3.7191805449010045,Basis widened upward,202310,202309,,,,-15.199999999999818,36.600000000000364,15.199999999999818,36.600000000000364,MO Synthetic,Contract Roll,100.0,High,Basis Jump | MO Synthetic Price Contribution,"Contract changed from 202309 to 202310. The abnormal basis may be affected by differences between old and new contract pricing. The daily basis change was +51.80 points, equivalent to +3.72 standard deviations of historical daily basis changes. IM contribution to the basis change was +15.20 points, while the MO synthetic contribution was +36.60 points. The dominant leg was MO Synthetic."
2023-12-05,-21.199999999999815,-2.648994579908679,-12.399999999999633,-0.8552657000486105,Basis moved downward,202312,202312,,,,-95.19999999999982,-107.59999999999945,95.19999999999982,-107.59999999999945,Mixed,Mixed Price Contribution,45.0,Low,,"IM contribution to the basis change was +95.20 points, while the MO synthetic contribution was -107.60 points. The dominant leg was Mixed."
2024-01-18,81.0,6.895051484304306,127.19999999999982,7.438186213277119,Basis widened upward,202402,202401,,,,-201.80000000000018,-74.60000000000036,201.80000000000018,-74.60000000000036,IM,Contract Roll,100.0,High,Basis Jump | IM Price Contribution,"Contract changed from 202401 to 202402. The abnormal basis may be affected by differences between old and new contract pricing. The daily basis change was +127.20 points, equivalent to +7.44 standard deviations of historical daily basis changes. IM contribution to the basis change was +201.80 points, while the MO synthetic contribution was -74.60 points. The dominant leg was IM."
2024-01-22,-54.0,-4.074963442541697,-38.0,-1.6433930947961546,Basis moved downward,202402,202402,,,,-361.60000000000036,-399.60000000000036,361.60000000000036,-399.60000000000036,Mixed,Mixed Price Contribution,45.0,Low,,"IM contribution to the basis change was +361.60 points, while the MO synthetic contribution was -399.60 points. The dominant leg was Mixed."
2024-02-05,-107.80000000000018,-6.639918483236584,-142.20000000000073,-5.688515763757008,Basis moved downward,202402,202402,,,,-202.80000000000018,-345.0000000000009,202.80000000000018,-345.0000000000009,Mixed,Basis Jump,80.0,Medium,Mixed Price Contribution,"The daily basis change was -142.20 points, equivalent to -5.69 standard deviations of historical daily basis changes. IM contribution to the basis change was +202.80 points, while the MO synthetic contribution was -345.00 points. The dominant leg was Mixed."
2024-02-21,-66.60000000000036,-3.256534006207253,-59.20000000000073,-1.817543322835671,Basis moved downward,202403,202403,,,,76.80000000000018,17.599999999999454,-76.80000000000018,17.599999999999454,IM,IM Price Contribution,65.0,Medium,,"IM contribution to the basis change was -76.80 points, while the MO synthetic contribution was +17.60 points. The dominant leg was IM."
2024-02-29,49.60000000000037,2.0131093339787594,121.0,3.369732528338777,Basis widened upward,202403,202403,,,,98.0,219.0,-98.0,219.0,MO Synthetic,Basis Jump,80.0,Medium,MO Synthetic Price Contribution,"The daily basis change was +121.00 points, equivalent to +3.37 standard deviations of historical daily basis changes. IM contribution to the basis change was -98.00 points, while the MO synthetic contribution was +219.00 points. The dominant leg was MO Synthetic."
2024-09-26,55.80000000000018,5.355327054309215,67.20000000000073,4.526643913642816,Basis widened upward,202410,202410,,,,184.59999999999945,251.80000000000018,-184.59999999999945,251.80000000000018,Mixed,Basis Jump,80.0,Medium,Mixed Price Contribution,"The daily basis change was +67.20 points, equivalent to +4.53 standard deviations of historical daily basis changes. IM contribution to the basis change was -184.60 points, while the MO synthetic contribution was +251.80 points. The dominant leg was Mixed."
2024-09-30,228.60000000000036,17.654669343933364,168.0,10.322591524701304,Basis widened upward,202410,202410,,,,516.1999999999998,684.1999999999998,-516.1999999999998,684.1999999999998,Mixed,Basis Jump,80.0,Medium,Mixed Price Contribution,"The daily basis change was +168.00 points, equivalent to +10.32 standard deviations of historical daily basis changes. IM contribution to the basis change was -516.20 points, while the MO synthetic contribution was +684.20 points. The dominant leg was Mixed."
2024-10-08,47.20000000000073,1.7089158576491927,-181.39999999999964,-7.780181139218264,Basis moved downward,202410,202410,,,,373.1999999999998,191.80000000000018,-373.1999999999998,191.80000000000018,IM,Basis Jump,80.0,Medium,IM Price Contribution,"The daily basis change was -181.40 points, equivalent to -7.78 standard deviations of historical daily basis changes. IM contribution to the basis change was -373.20 points, while the MO synthetic contribution was +191.80 points. The dominant leg was IM."
2024-10-18,-92.60000000000036,-3.0783802487064165,-63.600000000000364,-1.688150516699797,Basis moved downward,202412,202412,,,,360.60000000000036,297.0,-360.60000000000036,297.0,Mixed,Mixed Price Contribution,45.0,Low,,"IM contribution to the basis change was -360.60 points, while the MO synthetic contribution was +297.00 points. The dominant leg was Mixed."
2024-10-21,7.0,0.16085366536562828,99.60000000000036,2.6091013238738423,Basis widened upward,202412,202412,,,,-2.399999999999636,97.20000000000073,2.399999999999636,97.20000000000073,MO Synthetic,Basis Jump,76.09101323873843,Medium,MO Synthetic Price Contribution,"The daily basis change was +99.60 points, equivalent to +2.61 standard deviations of historical daily basis changes. IM contribution to the basis change was +2.40 points, while the MO synthetic contribution was +97.20 points. The dominant leg was MO Synthetic."
2024-11-25,52.400000000000546,1.4859323311525814,105.20000000000073,2.5708839884361896,Basis widened upward,202412,202412,,,,-71.60000000000036,33.600000000000364,71.60000000000036,33.600000000000364,IM,Basis Jump,75.7088398843619,Medium,IM Price Contribution,"The daily basis change was +105.20 points, equivalent to +2.57 standard deviations of historical daily basis changes. IM contribution to the basis change was +71.60 points, while the MO synthetic contribution was +33.60 points. The dominant leg was IM."
